SEMANA,SST,SS,VPD,ATC,PTC,OP,OPC,SST-OPC,SST-SS,SS-VPD,SS-ATC,VPD-ATC,ATC-PTC,PTC-OP,OP-OPC
4/1/2024,225676,196397,123394,118159,106138,87078,76233,34%,87%,63%,60%,96%,90%,82%,88%
4/8/2024,229015,196097,121376,113920,100878,84052,74861,33%,86%,62%,58%,94%,89%,83%,89%
4/15/2024,209503,180579,112129,104508,92586,78681,70492,34%,86%,62%,58%,93%,89%,85%,90%
4/22/2024,216203,186606,117104,110137,97471,81589,72746,34%,86%,63%,59%,94%,88%,84%,89%
4/29/2024,229808,191096,123061,114916,101454,84009,75196,33%,83%,64%,60%,93%,88%,83%,90%
5/6/2024,206283,170932,104566,97365,85976,71877,64677,31%,83%,61%,57%,93%,88%,84%,90%
5/13/2024,211402,182915,111769,105395,93239,77520,69994,33%,87%,61%,58%,94%,88%,83%,90%
5/20/2024,222203,186629,114107,105024,91893,76177,68410,31%,84%,61%,56%,92%,87%,83%,90%
5/27/2024,201596,168650,102067,93742,82172,68603,61727,31%,84%,61%,56%,92%,88%,83%,90%
6/3/2024,182396,155782,99315,90585,79994,68668,62304,34%,85%,64%,58%,91%,88%,86%,91%
6/10/2024,186322,158993,100775,91984,81085,70168,63475,34%,85%,63%,58%,91%,88%,87%,90%
