SEMANA,SST-OPC,SST-SS,SS-VPD,SS-ATC,VPD-ATC,ATC-PTC,PTC-OP,OP-OPC,STORE_AVAILABILITY,PRODUCT_AVAILABILITY,DESCONTO_PERCENTUAL
4/1/2024,17%,100%,54%,49%,89%,85%,60%,70%,98%,87%,5%
4/8/2024,17%,100%,52%,45%,88%,84%,62%,71%,98%,87%,5%
4/15/2024,15%,100%,48%,40%,83%,82%,63%,71%,98%,82%,5%
4/22/2024,18%,100%,53%,47%,90%,84%,63%,71%,98%,87%,5%
4/29/2024,18%,100%,55%,49%,90%,83%,59%,72%,98%,87%,5%
5/6/2024,15%,100%,48%,42%,87%,83%,61%,72%,98%,82%,5%
5/13/2024,17%,100%,52%,44%,85%,83%,64%,72%,98%,85%,5%
5/20/2024,16%,100%,53%,46%,86%,82%,62%,70%,98%,82%,5%
5/27/2024,17%,100%,54%,47%,87%,83%,61%,71%,98%,90%,5%
6/3/2024,15%,100%,50%,42%,83%,83%,61%,71%,98%,90%,5%
6/10/2024,19%,100%,54%,47%,87%,83%,66%,75%,98%,90%,5%
