SEMANA,SST,SS,VPD,ATC,PTC,OP,OPC
4/1/2024,71571,71571,38894,34718,29668,17848,12426
4/8/2024,71568,71568,37052,32444,27165,16921,12035
4/15/2024,62981,62981,30141,25020,20536,12851,9143
4/22/2024,64804,64804,34034,30727,25853,16374,11674
4/29/2024,64577,64577,35497,31934,26516,15749,11348
5/6/2024,64402,64402,30837,26902,22277,13692,9813
5/13/2024,71161,71161,36883,31396,26170,16831,12047
5/20/2024,64275,64275,34182,29267,23949,14893,10404
5/27/2024,57633,57633,30989,26915,22234,13658,9740
6/3/2024,54126,54126,27303,22767,18808,11468,8199
6/10/2024,53680,53680,28889,24997,20629,13683,10217
