SEMANA,SST-OPC,SST-SS,SS-VPD,SS-ATC,VPD-ATC,ATC-PTC,PTC-OP,OP-OPC,STORE_AVAILABILITY,PRODUCT_AVAILABILITY,DESCONTO_PERCENTUAL
4/1/2024,27%,85%,59%,57%,96%,89%,78%,80%,90%,85%,12%
4/8/2024,26%,84%,58%,55%,95%,88%,79%,81%,89%,91%,12%
4/15/2024,27%,84%,58%,55%,94%,88%,81%,82%,89%,88%,10%
4/22/2024,27%,84%,59%,56%,95%,88%,80%,81%,87%,88%,10%
4/29/2024,26%,82%,60%,57%,95%,88%,79%,81%,86%,86%,10%
5/6/2024,26%,81%,58%,54%,94%,88%,80%,82%,86%,86%,11%
5/13/2024,27%,85%,58%,55%,95%,88%,79%,82%,90%,85%,11%
5/20/2024,25%,82%,58%,54%,93%,87%,79%,82%,90%,82%,11%
5/27/2024,24%,82%,57%,53%,93%,87%,79%,82%,90%,90%,11%
6/3/2024,27%,83%,59%,54%,92%,87%,81%,84%,91%,90%,11%
6/10/2024,27%,83%,59%,54%,92%,87%,81%,83%,92%,90%,13%
