SEMANA,SST,SS,VPD,ATC,PTC,OP,OPC
4/1/2024,333353,282903,167252,161170,143719,112300,89739
4/8/2024,335318,282024,163959,155293,136843,108504,88229
4/15/2024,312760,263641,153321,144305,127063,102350,83539
4/22/2024,322983,271334,160539,152300,133875,106800,86282
4/29/2024,340531,278384,168373,159929,140734,111184,89760
5/6/2024,301618,245220,141632,133292,117046,93406,76954
5/13/2024,314287,266203,153231,146254,128661,102115,83993
5/20/2024,328614,270986,156124,145190,126366,99563,81541
5/27/2024,311310,254087,143753,133728,116413,91448,74743
6/3/2024,278167,230415,137083,125520,109807,88517,74045
6/10/2024,283790,234770,138481,127898,111506,90772,75305
